,bound,kl,tS,tT,time,dS,dT,eS,eT,rS,rT
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4607831537723541,10.62103271484375,0.2316085,0.23136252,123.13098740577698,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.508945643901825,0.1468372344970703,0.050458714,0.041474655,284.63157749176025,0.47634238,0.47614738,0.16281012,0.16261207,0.4009813,0.40068576
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2511399686336517,0.0017027854919433,0.027522936,0.032258064,87.11858892440796,0.10931038,0.117919415,0.026002247,0.03492056,0.08065744,0.093880266
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1477884203195572,0.0204780101776123,0.054752182,0.043528818,79.47475361824036,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4548418819904327,16.017105102539062,0.2831959,0.3015877,53.92844891548157,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4911321103572845,0.0041661262512207,0.12804878,0.1380368,141.26850175857544,0.25468892,0.2477424,0.098110944,0.09671772,0.2254554,0.22058892
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2511389553546905,0.0017023086547851,0.027522936,0.032258064,102.88483834266664,0.10931036,0.1179194,0.026002258,0.034920566,0.08065744,0.093880266
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4574492573738098,6.346508026123047,0.2699714,0.25775978,22.293423414230347,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4514776468276977,14.608001708984377,0.30536556,0.2930007,275.930849313736,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1369774341583252,0.5032930374145508,0.06436818,0.06680765,61.485772132873535,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.508945643901825,0.1468372344970703,0.050458714,0.041474655,326.2474775314331,0.47634238,0.47614738,0.16281012,0.16261207,0.4009813,0.40068576
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3382626175880432,31.961883544921875,0.12470825,0.10519911,112.63587760925292,,,,,,
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5755591988563538,0.2158660888671875,0.05263158,0.04225352,294.6476550102234,0.4796968,0.47944033,0.17042083,0.1680384,0.41026923,0.40775856
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9295791387557985,0.1331849098205566,0.2651357,0.23590814,278.9016320705414,0.49106166,0.49133655,0.21582021,0.21360178,0.46135104,0.45927006
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2959283888339996,0.0003275871276855,0.055944055,0.04225352,102.17491173744202,0.08360243,0.09159443,0.0359034,0.036666416,0.077704616,0.08246363
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4701756536960602,0.0713679790496826,0.27361068,0.29818243,34.68606090545654,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9295791387557985,0.1331849098205566,0.2651357,0.23590814,281.53163290023804,0.49106166,0.49133652,0.21582021,0.2136018,0.46135104,0.45927006
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2959283888339996,0.0003275871276855,0.055944055,0.04225352,102.17257452011108,0.08360243,0.09159443,0.0359034,0.036666416,0.077704616,0.08246363
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4689798653125763,0.0822188854217529,0.27599826,0.29887933,61.583412408828735,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7222225069999695,0.2181458473205566,0.14067279,0.13190185,432.4827024936676,0.48343316,0.48411185,0.18969135,0.1892961,0.43140793,0.43135202
data=credit/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7222225069999695,0.2181458473205566,0.14067279,0.13190185,431.5064907073975,0.48343316,0.48411185,0.18969135,0.1892961,0.43140793,0.43135202
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.940244436264038,0.0013151168823242,0.27272728,0.2875817,65.88980197906494,0.21254551,0.1944028,0.19394928,0.23776269,0.30022204,0.3349641
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2424640506505966,0.1337660551071167,0.1335647,0.1300867,53.54732346534729,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4632442593574524,6.115669250488281,0.26788893,0.27172142,96.84460210800172,,,,,,
