,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=moons-0_02-0-100/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9999999996306608,0.5,0.5,0.24995002,0.2499519,0.0,0.49995002,0.4999519,0.0,0.001,0.1242375373840332
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.5034,0.483,0.0080833435058593
data=moons-0_02-1-1000/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5945857273163675,0.39508152,0.39747354,0.09454161,0.098710194,2.2813727855682373,0.29208237,0.29744697,0.071,0.096,0.1032488346099853
data=moons-0_02-1-1000/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4669478833675384,0.28360504,0.29136303,0.073734984,0.0764083,1.5060949325561523,0.2155375,0.22208981,0.083,0.092,2.7811214923858643
data=moons-0_02-2-500/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.482,0.509,0.0001285076141357
data=moons-0_02-2-500/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.482,0.509,0.0001089572906494
data=moons-0_02-2-500/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7094281947850212,0.39167666,0.39314154,0.092710376,0.09502457,2.531973123550415,0.2885487,0.29159534,0.074,0.086,0.0914192199707031
data=moons-0_02-1-500/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5432025790214539,0.27463436,0.28663388,0.073868394,0.07780239,1.3822956085205078,0.21118557,0.22111933,0.084,0.092,2.1282362937927246
data=moons-0_02-1-1000/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.6200447587774482,0.40308085,0.4044917,0.09827258,0.10169147,2.598020553588867,0.299813,0.30393732,0.072,0.086,0.5556304454803467
data=moons-0_02-2-500/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7436841480641543,0.39659494,0.398321,0.09352386,0.09826051,3.6792495250701904,0.29182133,0.297421,0.074,0.087,0.4804956912994385
data=moons-0_02-1-1000/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4680492877960205,0.2821118,0.28977457,0.073938,0.07881242,1.5120549201965332,0.2149939,0.2236997,0.074,0.094,4.473504543304443
data=moons-0_02-0-1000/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.6346871345819899,0.40282613,0.40136844,0.09890932,0.098030984,3.0937271118164062,0.30032238,0.2987152,0.079,0.083,2.872835874557495
data=moons-0_02-0-1000/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4785654544830322,0.28192842,0.26874536,0.0759919,0.0735583,1.5403847694396973,0.21695611,0.20793098,0.092,0.094,2.879057645797729
data=moons-0_02-0-500/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9999999992859626,0.5,0.5,0.24995005,0.24995011,0.0,0.49995005,0.4999501,0.0,0.0,0.1618878841400146
