,bound-blanchard-mean,bound-blanchard-std,bound-catoni-mean,bound-catoni-std,bound-kl-sample,bound-ours-mean,bound-ours-std,bound-renyi-sample,bound-rivasplata-mean,bound-rivasplata-std,div-kl,div-renyi,div-rivasplata-mean,div-rivasplata-std,post-risk-mean,post-risk-std,test-risk-mean,test-risk-std,prior-risk-mean,prior-risk-std
batch_size=32/bound=ours/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9470259414613248,0.0354906821279553,0.9477410825946496,0.0357894352141603,0.9749329090118408,0.948638166040182,0.0346208738051373,0.9749361872673036,0.947447072416544,0.0352657274458162,0.0230479165911674,0.0460958331823349,0.0293608754873275,0.2265666818089658,0.9444308280944824,0.0374385826289653,0.9441277384757996,0.0376959294080734,,
batch_size=32/bound=rivasplata/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.952240231782198,0.0319073148712024,0.9524664432942154,0.0360059655723831,0.9772149920463562,0.9528285923600196,0.0315415554071893,0.9791404604911804,0.9500147445499896,0.0332280375938661,39.43694686889648,78.87389373779297,39.29954208135605,8.990725906688139,0.942830502986908,0.0376859977841377,0.9425852298736572,0.0379052273929119,,
batch_size=32/bound=blanchard/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.978069613277912,0.0194433070264974,0.9834625423913198,0.0171525953156061,0.9900000095367432,0.9782195889949798,0.0192071763653589,0.9900000095367432,0.9761268779635428,0.0216149659687735,123.01712036132812,246.03424072265625,122.5077735900879,16.084959927691184,0.9702578783035278,0.0281969346106052,0.96997332572937,0.0289712939411401,,
batch_size=32/bound=rivasplata/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9900000095367432,0.0,1.0000007898505658,8.875306401654754e-06,0.9900000095367432,0.9900000095367432,0.0,0.9900000095367432,0.9900000095367432,0.0,11975.408203125,23950.81640625,11976.720185546876,165.964177079088,0.9832494854927064,0.0159428566694259,0.9832292199134828,0.0160255022346973,,
batch_size=32/bound=ours/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9779700562357904,0.0214035917069367,0.9794266207702812,0.0224678399916447,0.9900000095367432,0.9786019018292428,0.0206880412935505,0.9900000095367432,0.978008627295494,0.0213617539127277,1.962755560874939,3.925511121749878,1.9699195422232152,1.9550362489046609,0.9772619605064392,0.0234725344926118,0.9771774411201476,0.0241228565573692,,
batch_size=32/bound=catoni/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9900000095367432,0.0,0.9999955472451064,1.1066095044003154e-05,0.9900000095367432,0.9900000095367432,0.0,0.9900000095367432,0.9899125944077968,0.000668041984192,5657.15771484375,11314.3154296875,5654.64187866211,114.040341528933,0.9829856753349304,0.0174222532659769,0.9829077124595642,0.0177746322005987,,
batch_size=32/bound=ours/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9494285081326962,0.0355555262445392,0.9499835911866504,0.0360400564022287,0.9765221476554872,0.9508877496421336,0.0347419477872542,0.976626455783844,0.9496432523429392,0.0354414993010322,0.8116257786750793,1.6232515573501587,0.7031522685289383,1.2918459474657076,0.9466654062271118,0.0376891642808914,0.9465252757072448,0.0378143899142742,,
batch_size=32/bound=None/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=None/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=prior/var=1e-05,0.9475741921365262,0.0355448741377803,0.948314670264941,0.0357997746141359,0.9753330945968628,0.949206592142582,0.0346464242463571,0.9753330945968628,0.9480289794504644,0.0352976152021472,0.0,0.0,-8.009374141693115e-05,0.0053507382793415,0.945035755634308,0.0374464429914951,0.944723665714264,0.0377392619848251,,
batch_size=32/bound=None/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=None/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=prior/var=0.0001,0.9158159539103508,0.026659535484791,0.9164557005002268,0.0263375418818381,0.9516890048980712,0.9182019904255868,0.0262077848861528,0.9516890048980712,0.9164780665934086,0.0265358614422201,0.0,0.0,-0.0001460313796997,0.0049522089660045,0.9117335677146912,0.0274859890341758,0.9116036891937256,0.0273741576820611,,
batch_size=32/bound=catoni/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9887745417654514,0.0032917560039219,0.985128682220507,0.0124435324436571,0.9900000095367432,0.9888185533881187,0.0033237804231097,0.9900000095367432,0.9766542008519172,0.0068347962387373,4358.009765625,8716.01953125,4354.538382568359,94.4273370820432,0.9023318290710448,0.0212262086570262,0.903257429599762,0.0209860261529684,,
